;SiteName;Long10;Lat10;Altitude;Domain;vegetation_type;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;DaysFrost;CloudItcp;Rockiness;Sandiness;SoilDrain;SoilWaterStorage;SoilFert;Salinity
CerMG029;Joaquim Felício, floresta ripícola;-441.433;-17.68;631;Cerrado;riverine_forest;22.5;12.8;69;189;30.3;11.8;18.5;1150;289;1;98;150;150;0;0;5;65;80;73;37;0
CerMG030;Santana de Pirapama, Rio Cipó, floresta ripícola;-439.075;-18.865;613;Cerrado;riverine_forest;21.7;12.8;66;200;30.1;10.8;19.3;1281;269;7;90;135;114;0;0;20;45;80;74;37;0
CerMG031;Santana do Riacho, Rio Cipó, floresta ripícola;-437.411;-191.133;691;Cerrado;riverine_forest;21.4;12.4;66;193;29.8;11;18.8;1470;321;8;89;130;100;0;0;20;85;80;64;37;0
CerMG032;Cardeal Mota, Rio Mascate, floresta ripícola;-435.894;-193.828;807;Cerrado;riverine_forest;20.6;11.8;66;190;28.8;10.8;18;1529;325;9;88;125;89;0;0;20;65;80;69;17;0
CerMG033;Olhos d’Água, floresta decídua;-437.536;-173.042;804;Cerrado;dry_forest;21.5;12.4;70;173;29.4;11.6;17.8;1120;248;4;95;150;143;0;0;20;45;20;44;87;0
CerMG034;Cardeal Mota, floresta decídua;-436.169;-193.081;915;Cerrado;dry_forest;19.6;11.8;65;192;27.8;9.7;18.1;1536;327;9;88;125;81;0;0;20;55;20;41;87;0
CerMG035;Fruta de Leite, cerradão mesotrófico;-426.433;-160.625;853;Cerrado;cerrado;20.9;12.6;70;181;29;11.1;17.9;969;213;5;95;160;139;0;0;20;55;35;49;37;0
CerMG037;Senador Modestino Gonçalves, cerradão distrófico;-432.514;-179.397;724;Cerrado;cerrado;21.5;11.9;66;192;29.8;11.8;18;1187;259;7;92;140;125;0;0;20;55;20;49;17;0
CerMG038;Rio Pardo de Minas, cerrado;-425.275;-155.792;832;Cerrado;cerrado;21.2;12.1;71;165;28.9;11.9;17;881;196;2;95;160;150;0;0;20;55;20;41;5;0
CerMG039;Cristália, cerrado;-428.631;-167.306;771;Cerrado;cerrado;21.8;12.9;70;182;30.2;11.8;18.4;950;211;6;95;160;152;0;0;20;55;20;41;17;0
CerMG041;Olhos d’Água, cerrado;-435.783;-173.072;785;Cerrado;cerrado;21.8;12.4;70;175;29.8;12;17.8;1066;238;4;96;160;149;0;0;20;55;20;41;17;0
CerMG042;Turmalina, Veredinha, cerrado;-428.222;-17.4;886;Cerrado;cerrado;21.2;12.3;69;180;29.5;11.8;17.7;1001;218;6;94;160;138;0;0;20;55;20;41;17;0
CerMG043;Carbonita, cerrado;-430.261;-17.555;797;Cerrado;cerrado;21.7;12.2;69;182;29.8;12.1;17.7;1030;228;5;95;160;145;0;0;20;55;20;41;17;0
CerMG044;Abadia, cerrado;-43.15;-17.69;904;Cerrado;cerrado;21;12;68;185;29.1;11.4;17.7;1111;245;6;95;150;130;0;0;20;55;20;41;17;0
CerMG045;Itamarandiba, cerrado;-427.697;-177.344;902;Cerrado;cerrado;20.8;11.8;68;182;28.8;11.4;17.4;1080;227;8;91;145;119;0;0;20;55;20;41;17;0
CerMG046;São Gonçalo do Rio Preto, cerrado;-433.569;-180.622;749;Cerrado;cerrado;21;11.7;65;190;29.4;11.5;17.9;1266;276;8;91;135;111;0;0;20;55;20;41;17;0
CerMG047;Montezuma, cerrado;-423.533;-151.014;1006;Cerrado;cerrado;20.8;11.2;73;148;27.9;12.5;15.4;822;172;4;92;155;147;0;52;20;55;20;41;5;0
CerMG048;Francisco Sá, Catuni, cerrado rupícola;-432.511;-162.089;886;Cerrado;campo_rupestre_cerrado;21.1;12.7;70;173;29.3;11.1;18.2;981;213;4;94;155;143;0;0;45;65;5;25;5;0
CerMG049;Grão Mogol, Santa Marta, cerrado rupícola;-433.056;-166.267;884;Cerrado;campo_rupestre_cerrado;20.7;12.5;71;171;28.6;11.1;17.5;1022;225;3;98;155;150;0;0;45;55;5;28;17;0
CerMG050;Botumirim, cerrado rupícola;-430.044;-168.547;877;Cerrado;campo_rupestre_cerrado;20.9;12.4;70;174;29.1;11.5;17.6;1011;221;5;95;155;140;0;0;45;55;5;28;17;0
CerMG051;Itacambira, cerrado rupícola;-432.647;-169.189;919;Cerrado;campo_rupestre_cerrado;21;12.5;71;172;29;11.5;17.5;1022;226;4;96;160;147;0;0;45;55;5;28;17;0
CerMG052;São João da Chapada, Macacos, cerrado rupícola;-437.489;-179.842;980;Cerrado;campo_rupestre_cerrado;20.5;11.2;64;178;29;11.6;17.4;1369;312;7;91;130;100;0;0;45;55;5;28;17;0
CerMG053;Mendanha, cerrado rupícola;-435.364;-180.919;711;Cerrado;campo_rupestre_cerrado;21.4;11.9;65;196;29.8;11.6;18.2;1264;269;7;92;135;119;0;0;45;55;5;28;17;0
CerMG054;Santana de Pirapama, cerrado rupícola;-438.539;-188.733;717;Cerrado;campo_rupestre_cerrado;21.4;12.3;65;193;29.8;11;18.8;1377;294;7;89;135;106;0;0;45;65;5;25;5;0
CerMG055;Santana do Riacho, cerrado rupícola;-437.089;-19.14;866;Cerrado;campo_rupestre_cerrado;21;12.4;66;195;29.3;10.4;18.9;1452;326;7;90;130;98;0;0;45;65;5;25;5;0
CerMG056;Cardeal Mota, cerrado rupícola;-436.136;-193.544;821;Cerrado;campo_rupestre_cerrado;20.4;12;66;195;28.6;10.3;18.3;1508;338;8;90;125;90;0;0;45;65;5;25;5;0
CerMG057;Serra do Cabral, cerrado rupícola;-442.006;-179.119;736;Cerrado;campo_rupestre_cerrado;22.5;12.8;68;195;30.4;11.7;18.7;1179;308;1;99;150;145;0;0;45;65;5;25;17;0
CerMG058;Gouveia, cerrado rupícola;-438.072;-185.731;1037;Cerrado;campo_rupestre_cerrado;19.8;11.6;64;188;28.3;10.2;18.1;1382;313;6;91;125;93;0;90;45;55;5;28;17;0
CerMG069;Lassance, floresta ripícola;-445.683;-179.339;516;Cerrado;riverine_forest;23.3;13.3;69;199;31.2;11.8;19.4;1152;289;0;99;155;153;0;0;20;65;65;61;17;0
